timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1729024249413,893,Create Content ID request,200,OK,Thread Group 1-1,text,true,,1551,3731,1,1,https://servicenowinc.my.workfront.com/attask/api/v18.0/optask,893,0,0
1729024250306,911,Check request status and get content IDs ,200,OK,Thread Group 1-1,text,true,,3928,292,1,1,"https://servicenowinc.my.workfront.com/attask/api/v18.0/optask?ID=670ed0fa06d3730bbdc3eb45d987d5b2&fields=status,DE:api_contentList,DE:api_contentListWithIDs",911,0,0
1729024251218,779,Create Content ID request,200,OK,Thread Group 1-1,text,true,,1552,3731,1,1,https://servicenowinc.my.workfront.com/attask/api/v18.0/optask,779,0,0
1729024251998,229,Check request status and get content IDs ,200,OK,Thread Group 1-1,text,true,,3926,292,1,1,"https://servicenowinc.my.workfront.com/attask/api/v18.0/optask?ID=670ed0fb1d571f2548ab5704e54df25c&fields=status,DE:api_contentList,DE:api_contentListWithIDs",229,0,0
1729024252227,1125,Create Content ID request,200,OK,Thread Group 1-1,text,true,,1552,3731,1,1,https://servicenowinc.my.workfront.com/attask/api/v18.0/optask,1125,0,0
1729024253353,205,Check request status and get content IDs ,200,OK,Thread Group 1-1,text,true,,3927,292,1,1,"https://servicenowinc.my.workfront.com/attask/api/v18.0/optask?ID=670ed0fd1d57230e0a8d2685fde12a22&fields=status,DE:api_contentList,DE:api_contentListWithIDs",205,0,0
1729024253558,1120,Create Content ID request,200,OK,Thread Group 1-1,text,true,,1552,3731,1,1,https://servicenowinc.my.workfront.com/attask/api/v18.0/optask,1120,0,0
1729024254678,304,Check request status and get content IDs ,200,OK,Thread Group 1-1,text,true,,3927,292,1,1,"https://servicenowinc.my.workfront.com/attask/api/v18.0/optask?ID=670ed0fe1d572ba555c0d41b3e7d796c&fields=status,DE:api_contentList,DE:api_contentListWithIDs",304,0,0
1729024254982,987,Create Content ID request,200,OK,Thread Group 1-1,text,true,,1550,3731,1,1,https://servicenowinc.my.workfront.com/attask/api/v18.0/optask,987,0,0
1729024255969,917,Check request status and get content IDs ,200,OK,Thread Group 1-1,text,true,,3928,292,1,1,"https://servicenowinc.my.workfront.com/attask/api/v18.0/optask?ID=670ed0ff04eb7fb4b35078c9ff8be4da&fields=status,DE:api_contentList,DE:api_contentListWithIDs",917,0,0
1729024256886,2321,Create Content ID request,200,OK,Thread Group 1-1,text,true,,1550,3731,1,1,https://servicenowinc.my.workfront.com/attask/api/v18.0/optask,2321,0,0
